VentasID|Nombre|Apellido|dni|fechaPedido|producto|NumeroOrden|precioUnitario|Cantidad|Total
121|Yolanda|Chander|10876641|2021/10/04|Road-150 Red, 62|SO43817|3578.27|1|3578.27
122|Dominique|Garcia|10876642|2021/10/05|Road-150 Red, 48|SO43818|3578.27|1|3578.27
123|Janet|Alvarez|10876643|2021/10/06|Mountain-100 Silver, 44|SO43819|3399.99|1|3399.99
124|Jeremy|Murphy|10876644|2021/10/07|Road-150 Red, 48|SO43820|3578.27|1|3578.27
125|Aaron|Collins|10876645|2021/10/08|Road-150 Red, 62|SO43821|3578.27|1|3578.27
126|Katelyn|Allen|10876646|2021/10/09|Road-150 Red, 52|SO43822|3578.27|1|3578.27
127|Armando|Navarro|10876647|2021/10/10|Road-650 Black, 52|SO43823|699.0982|1|699.0982
128|Marcel|Truempy|10876648|2021/10/11|Road-650 Black, 44|SO43824|699.0982|1|699.0982
129|Levi|Sai|10876649|2021/10/12|Road-150 Red, 52|SO43825|3578.27|1|3578.27
130|Rob|Verhoff|10876650|2021/10/13|Mountain-100 Black, 38|SO43826|3374.99|1|3374.99
131|Anthony|Walker|10876651|2021/10/14|Road-650 Black, 44|SO43827|699.0982|1|699.0982
132|Miguel|Martinez|10876652|2021/10/15|Road-150 Red, 62|SO43828|3578.27|1|3578.27
133|Jack|Edwards|10876653|2021/10/16|Road-150 Red, 62|SO43829|3578.27|1|3578.27
134|Raul|Sharma|10876654|2021/10/17|Road-150 Red, 44|SO43830|3578.27|1|3578.27
135|Jill|Jimenez|10876655|2021/10/18|Mountain-100 Black, 42|SO43831|3374.99|1|3374.99
136|Isaiah|Cox|10876656|2021/10/19|Road-150 Red, 62|SO43832|3578.27|1|3578.27
137|Arianna|Flores|10876657|2021/10/20|Road-150 Red, 62|SO43833|3578.27|1|3578.27
138|Ramon|Zheng|10876658|2021/10/21|Mountain-100 Black, 38|SO43834|3374.99|1|3374.99
139|Sara|James|10876659|2021/10/22|Mountain-100 Black, 38|SO43835|3374.99|1|3374.99
140|Isabella|Green|10876660|2021/10/23|Road-650 Red, 62|SO43836|699.0982|1|699.0982
141|Shannon|Carlson|10876661|2021/10/24|Mountain-100 Black, 44|SO43837|3374.99|1|3374.99
142|Miranda|Alexander|10876662|2021/10/25|Road-150 Red, 52|SO43838|3578.27|1|3578.27
143|Jennifer|Young|10876663|2021/10/26|Road-150 Red, 44|SO43839|3578.27|1|3578.27
144|Misty|Yuan|10876664|2021/10/27|Road-650 Red, 44|SO43840|699.0982|1|699.0982
145|Craig|Jiménez|10876665|2021/10/28|Road-150 Red, 56|SO43841|3578.27|1|3578.27
146|Jaime|Sutton|10876666|2021/10/29|Road-150 Red, 48|SO43842|3578.27|1|3578.27
147|Paige|Morris|10876667|2021/10/30|Road-150 Red, 52|SO43918|3578.27|1|3578.27
148|Brandi|Gill|10876668|2021/10/31|Road-150 Red, 56|SO43919|3578.27|1|3578.27
149|Justin|Taylor|10876669|2021/11/01|Road-150 Red, 52|SO43920|3578.27|1|3578.27
150|Ariana|Stewart|10876670|2021/11/02|Road-150 Red, 52|SO43921|3578.27|1|3578.27
151|Mitchell|Jai|10876671|2021/11/03|Road-150 Red, 62|SO43922|3578.27|1|3578.27
152|Rachel|Foster|10876672|2021/11/04|Road-150 Red, 48|SO43923|3578.27|1|3578.27
153|Kaitlyn|Henderson|10876673|2021/11/05|Road-150 Red, 62|SO43924|3578.27|1|3578.27
154|Shane|Raman|10876674|2021/11/06|Road-150 Red, 56|SO43925|3578.27|1|3578.27
155|Gilbert|Raje|10876675|2021/11/07|Mountain-100 Black, 48|SO43926|3374.99|1|3374.99
156|Stacey|Gao|10876676|2021/11/08|Road-150 Red, 56|SO43927|3578.27|1|3578.27
157|Elijah|Li|10876677|2021/11/09|Road-150 Red, 52|SO43928|3578.27|1|3578.27
158|Gloria|Diaz|10876678|2021/11/10|Road-650 Red, 60|SO43929|699.0982|1|699.0982
159|Philip|Gomez|10876679|2021/11/11|Road-150 Red, 48|SO43930|3578.27|1|3578.27
160|Bridget|Jai|10876680|2021/11/12|Road-150 Red, 52|SO43931|3578.27|1|3578.27
